DATE=19991015, TIME=09:30:00, NPAN=751, NPMT=9522, NOWL=91, NLG=49, NBUT=22, NECK=4
H100 10  7 T10  0  130.503  -85.399  0  0  0  0
EALH PGKD JIAD KFUD QB28  0x07  594.590 -460.821  373.765
EALI PGGJ JIAE KFUD QB29  0x07  613.503 -453.933  352.160
EALJ PGSR JIAF KFUD QB30  0x07  558.596 -491.675  392.972
EALK PGXC JGTK KGCB PC09  0x07  577.526 -484.802  371.375
EALL PGGL JGTL KGCB PC10  0x07  596.438 -477.914  349.769
EALM PGWO JGTM KGCB PC11  0x07  615.350 -471.026  328.164
H123 21  4 T21  0   66.415  -44.942  0  0  0  0
EALN PMVQ JFRR KEYD QA32  0x07  501.441 -591.169  330.636
EALO PLPZ JFLO KFUA QB01  0x07  501.451 -575.633  355.754
EALP PMEM JFLP KFUA QB02  0x07  501.437 -560.121  380.881
EALQ PMUF JFLQ KFUA QB03  0x07  520.820 -584.735  309.322
EALR PMLR JFLR KFUA QB04  0x07  520.820 -569.218  334.428
EALS PNEM JFLS KFUA QB05  0x07  520.830 -553.682  359.546
EALT PMVK JFLT KFUA QB06  0x07  520.816 -538.169  384.673
EALU PMPC JFLU KFUA QB07  0x07  540.203 -578.316  287.975
EALV PMRV JFLV KFUA QB08  0x07  540.199 -562.784  313.114
EALW PMLN JHVC KFUB QB09  0x07  540.199 -547.267  338.220
EALX PMXF JHVD KFUB QB10  0x07  540.209 -531.730  363.338
EALY PMRX JHVE KFUB QB11  0x07  540.195 -516.218  388.465
EALZ PNDX JHVF KFUB QB12  0x07  559.582 -556.365  291.767
EAMA PMXB JHVG KFUB QB13  0x07  559.593 -540.828  316.885
EAMB PMVY JHVH KFUB QB14  0x07  559.578 -525.316  342.012
EAMC PMWV JHVI KFUB QB15  0x07  559.589 -509.779  367.130
EAMD PNEU JHVJ KFUB QB16  0x07  578.961 -534.413  295.559
EAME PMVT JGXS KFUC QB17  0x07  578.972 -518.877  320.677
EAMF PMVU JGXT KFUC QB18  0x07  578.957 -503.365  345.804
EAMG PMII JGXU KFUC QB19  0x07  598.340 -512.462  299.351
EAMH PMXX JGXV KFUC QB20  0x07  598.351 -496.926  324.469
H124 10  3 T10  1   56.508  -39.325  0  0  0  0
EAMI PJGK JCJL KDMC QF22  0x07  577.124 -409.157  455.780
EAMJ PIGM JCJM KDMC QF23  0x07  554.863 -418.400  472.818
EAMK PIDT JCJN KDMC QF24  0x07  562.666 -433.969  448.972
EAML PICO JBRC KDMD QF25  0x07  532.573 -427.649  489.836
EAMM PHRK JBRD KDMD QF26  0x07  540.376 -443.218  465.990
EAMN PISB JBRE KDMD QF27  0x07  548.179 -458.787  442.144
EAMO PIDK JBRF KDMD QF28  0x07  510.311 -436.892  506.874
EAMP PIDV JCEM KLHA PJ05  0x07  518.114 -452.461  483.028
EAMQ PIEP JCEN KLHA PJ06  0x07  525.917 -468.030  459.182
EAMR PIEZ JCEO KLHA PJ07  0x07  533.677 -483.599  435.336
H125 10  3 T10  0   49.497  -49.399  0  0  0  0
EAMS PHEE JCKH KLIB PH12  0x07  383.397 -472.093  581.683
EAMT PIFL JCKI KLIB PH13  0x07  392.625 -489.222  559.470
EAMU PHSZ JCKJ KLIB PH14  0x07  408.699 -465.895  567.799
EAMV PIFD JCKK KLIB PH15  0x07  401.853 -506.318  537.246
EAMW PIDZ JCKL KLIB PH16  0x07  417.928 -482.991  545.575
EAMX PHPX JCJW KLIC PH17  0x07  434.002 -459.663  553.904
